,all,10,20,50,100,200,500
Accuracy,0.5562,0.5728,0.5524,0.5706,0.5902,0.5916,0.5658
F1-Score,0.3471609296852015,0.5317843051293293,0.4922867513611615,0.5148022598870057,0.5445654589908868,0.5377999094612947,0.4454661558109834
Percision,0.6562847608453838,0.5882638215324927,0.5686582809224319,0.5916883116883117,0.6128064032016008,0.6193952033368092,0.6162544169611307
Recall,0.236,0.4852,0.434,0.4556,0.49,0.4752,0.3488
